,record_id,start_page,volume,alpha_pub_date,numeric_pub_date,record_title,issue,pagination,url_doc_view,pub_id,year,month,day,review_type,reviewed_book_title,reviewed_book_pub_date,reviewed_book_publisher,reviewed_book_publisher_viaf_match,reviewed_book_genre,reviewed_book_price,reviewed_author_viaf_match,reviewed_author_name,perceived_author_gender
0,127610339,3,40,"Jul 22, 1882",18820722,STAGE WHISPERS,252,,http://search.proquest.com/docview/127610339/,24673,1882,,,not_review,,,,,,,,,
1,124900101,149,,"Sep 29, 1888",18880929,Missouri: A Bone of Contention,248,149,http://search.proquest.com/docview/124900101/,24241,1888,,,single_focus,Missouri,1888,"Houghton, Mifflin & Company",http://viaf.org/viaf/159556432,Nonfiction - historical,$1.25,http://viaf.org/viaf/71253540,Lucien Carr,m
2,137014197,150,,"Sep 26, 1923",19230926,THE NEW BOOKS,,150,http://search.proquest.com/docview/137014197/,35617,1923,,,multi,,,,,,,,,
3,754009145,480,28,"Jul 26, 1894",18940726,Literature,1498,,http://search.proquest.com/docview/754009145/,54317,1894,,,cluster,,,,,,,,,
4,90147948,110,23,"Mar 26, 1892",18920326,Lyrics by Cora Fabbri.,7,,http://search.proquest.com/docview/90147948/,25067,1892,,,brief,,,,,,,,,
5,89760874,568,39,Apr 1884,18840401,Review 4 -- No Title,4,568,http://search.proquest.com/docview/89760874/,24087,1884,,,single_focus,The Creatures of the Age of Steel,,Charles Scribner's Sons,http://viaf.org/viaf/121555288,Nonfiction - biographical,,http://viaf.org/viaf/266547693,W. S. Jeans,m
6,89659668,235,XXXIX,"Oct 16, 1905",19051016,LORD BYRON SELF-REVEALED.,464,235,http://search.proquest.com/docview/89659668/,25244,1905,,,single_focus,The Confessions of Lord Byron,1905,John Murray; Charles Scribner's Sons,,Nonfiction - autobiographical,,http://viaf.org/viaf/95230688; http://viaf.org/viaf/91257683,Lord Byron; W. A. Lewis Bettany,m
7,90762906,896,75,"May 13, 1920",19200513,Review 2 -- No Title,1958,896,http://search.proquest.com/docview/90762906/,35397,1920,,,not_review,,,,,,,,,
8,89635917,84,I,Sep 1880,18800901,WARD'S ENGLISH POETS.,5,84,http://search.proquest.com/docview/89635917/,25244,1880,,,multi,,,,,,,,,
9,124736362,312,35,May 1912,19120501,"VI COMPTON MACKENZIE'S ""CARNIVAL""",3,,http://search.proquest.com/docview/124736362/,24243,1912,,,single_focus,Carnival,1912,D. Appleton and Company,http://viaf.org/viaf/129012558,Fiction,,http://viaf.org/viaf/7429143,Compton Mackenzie,none
10,124213804,369,80,"Mar 7, 1895",18950307,MISCELLANEOUS.,10,369,http://search.proquest.com/docview/124213804/,26206,1895,,,multi,,,,,,,,,
11,125247455,173,92,Jul 1886,18860701,Review 14 -- No Title,,173,http://search.proquest.com/docview/125247455/,41361,1886,,,multi,,,,,,,,,
12,124529041,843,62,Sep 1892,18920901,"""THAT DASHING DRESSMAKER.""",,,http://search.proquest.com/docview/124529041/,24365,1892,,,not_review,,,,,,,,,
13,125250815,212,82,Jul 1881,18810701,Review 17 -- No Title,163,212,http://search.proquest.com/docview/125250815/,41361,1881,,,single_focus,Photographic Illustrations of Cutaneous Syphilis,,E. B. Treat,http://viaf.org/viaf/156067038,Nonfiction,,http://viaf.org/viaf/35330439,George Henry Fox,none
14,90548600,22,48,"Mar 5, 1896",18960305,LIFE AND LETTERS OF DANTE GABRIEL ROSSETTI.,2466,22,http://search.proquest.com/docview/90548600/,24565,1896,,,single_focus,Life and Letters of Dante Gabriel Rossetti,1896,,,Nonfiction - biographical,,http://viaf.org/viaf/68944986,William Michael Rossetti,m
15,137131257,432,40,"Oct 10, 1889",18891010,Review 2 -- No Title,15,432,http://search.proquest.com/docview/137131257/,35616,1889,,,single_focus,Master of Ballantrae,1889,,,Fiction,,http://viaf.org/viaf/95207986,Robert Louis Stevenson,m
16,124736216,310,36,Nov 1912,19121101,"""Mrs. Ames""",3,,http://search.proquest.com/docview/124736216/,24243,1912,,,single_focus,Mrs. Ames,1912,,,Fiction,,http://viaf.org/viaf/49221488,Mr. Benson,m
17,137077872,280,196,Aug 1912,19120801,THE SOURCES OF RELIGIOUS INSIGHT.,681,280,http://search.proquest.com/docview/137077872/,40705,1912,,,single_focus,The Sources of Religious Insight,1912,Charles Scribner's Sons,http://viaf.org/viaf/121555288,Nonfiction,,http://viaf.org/viaf/54221317,Josiah Royce,m
18,127684403,170,9,"May 11, 1881",18810511,AMUSEMENTS,218,,http://search.proquest.com/docview/127684403/,24697,1881,,,not_review,,,,,,,,,
19,136956145,1070,60,"Dec 31, 1898",18981231,NEW EDITIONS,18,1070,http://search.proquest.com/docview/136956145/,35617,1898,,,brief,,,,,,,,,
20,90287585,529,15,"Aug 30, 1919",19190830,SOME LEGENDS OF THE WAR,3921,529,http://search.proquest.com/docview/90287585/,35438,1919,,,single_focus,Légendes Prophéties et Superstitions de la Guerre,1919,La Renaissance du livre,,Nonfiction,,http://viaf.org/viaf/9845234,Albert Dauzat,m
21,125246033,206,118,Aug 1899,18990801,Review 2 -- No Title,2,206,http://search.proquest.com/docview/125246033/,41361,1899,,,single_focus,The Throat and Nose and Their Diseases,1898,"Balliere, Tindall & Cox",,Nonfiction,,http://viaf.org/viaf/41281017,Lennox Browne,m
22,137118037,777,42,"Dec 4, 1890",18901204,The Holiday Books,23,777,http://search.proquest.com/docview/137118037/,35616,1890,,,multi,,,,,,,,,
23,136129795,292,3,Mar 1880,18800301,Review 8 -- No Title,155,,http://search.proquest.com/docview/136129795/,35594,1880,,,single_focus,Times Before the Reformation,1880,Robert Carter & Brothers,,Nonfiction - historical,,,William Didwiddie,m
24,90359967,10,38,"Apr 8, 1886",18860408,Literature.,1949,10,http://search.proquest.com/docview/90359967/,24565,1886,,,single_focus,Japanese Homes and their Surroundings,1886,Ticknor & Co.,http://viaf.org/viaf/147064270,Nonfiction - academic/pseudo-academic,$5.00,http://viaf.org/viaf/17334268,Edward S. Morse,m
