,record_id,reviewed_book_title
0,124900101,Missouri
1,89760874,The Creatures of the Age of Steel
2,89659668,The Confessions of Lord Byron
3,124736362,Carnival
4,125250815,Photographic Illustrations of Cutaneous Syphilis
5,90548600,Life and Letters of Dante Gabriel Rossetti
6,137131257,Master of Ballantrae
7,124736216,Mrs. Ames
8,137077872,The Sources of Religious Insight
9,90287585,Légendes Prophéties et Superstitions de la Guerre
10,125246033,The Throat and Nose and Their Diseases
11,136129795,Times Before the Reformation
12,90359967,Japanese Homes and their Surroundings
13,90105768,Faith and Freedom
14,136144380,The Ragged-Trousered Philanthropists
15,90559137,A Lord of Lands
16,89650108,History of Art in Ancient Greece: Mycenian Art
17,124460722,"Uncle Jerry's Platform, and other Christmas Stories"
18,89675866,The French Procession: A Pageant of Great Writers
19,124151303,The Boys' Life of Christ
20,124189638,Exploratorio Evangelica
21,125728562,"Lawyers Reports Annotated, Book XLIX"
22,136927995,The Treatment of Nature in the Poetry of the Roman Republic
23,90582707,An Interpretation of the Russian People
24,136531676,Clinical Hematology
25,124742287,In the Shadow of the Cathedral
26,90710064,Lost Borders
27,125248726,"Diseases of the Ear, and Their Treatment"
28,125284689,"The Goede Vrouw of Mana-ha-ta, at Home and in Society"
29,124882878,Democracy and Liberty
30,90444175,Up From Slavery: An Autobiography
31,124752239,A Question of Faith
32,136707079,Christian History in its Three Great Periods
33,124744486,The Romantic Movement in English Poetry
34,124451296,The Land of the Muskeg
35,124914654,Life and Letters of Berlioz
36,127446458,The Break-Up of China
37,90390994,Santa Teresa
38,124688361,Stresses in Framed Structures
39,89676052,Criminal Sociology
40,90272171,On a Chinese Screen
41,90099356,Dorothy. A Country Story
42,136758573,A Year Among the Persians
43,89664544,The Peasant's War in Germany
44,124909790,Representative Etchings by Artists of To-day in America
45,90135638,Nature and Man
46,89751266,"Certain Men of Mark, Studies of Living Celebrities"
47,125730970,"American State Reports, volume 84"
48,90159404,Young People of Shakespeare's Dramas
49,90598758,Autobiography: Memories and Experiences of Moncure Daniel Conway
50,124752894,He Comes Up Smiling
51,89676173,The Passions of the French Romantics
52,90631209,The Pilgrims and Their History
53,90622858,The Editor And His People
54,89683657,"A Catalogue Raisonne of the Works of the Most Eminent Dutch, Flemish, and French Painters, with a Description of their Principal Pictures"
55,89646871,Eskimo Life
56,127542608,Footprints of the Apostles
57,127390820,The Youth Of Frederick The Great
58,89653017,"A Memoir of Her Royal Highness Princess Mary Adelaide, Duchess of Teck"
59,136992742,Students and the Modern Missionary Crusade
60,124747684,Abner Daniel
61,125348650,A Lecture on the Glacial Phenomena in the United States
62,125272943,The Religion of Democracy: A Memorandum of Modern Principles
63,124766315,One Man Who Was Content
64,136964116,Standards of Public Morality
65,124178806,Ulysses
66,125715359,Elliot's General Practice
67,137097377,Familiar Spanish Travels
68,124450952,"The Fountain of Life, or the Threefold Power of Sex"
69,89671396,William Newton Clarke
70,124898408,A Wedding-Trip
71,90153449,The Life and Works of Gilbert Stuart
72,90154588,The Works of Thomas Gray in Prose and Verse
73,90161546,Maxim Gorky: His Life and Writings
74,124732047,The Works of Matthew Arnold
75,90546389,The Romance of Piscator
76,125547097,The Wild Garden
77,136971619,The Patriot 
78,124907408,"A Manual of the Oregon Trade Language, or Chinook Jargon"
79,136872320,The Practice of Medicine
80,90142613,The Gadfly
81,90537156,The City: The Hope of Democracy
82,90164528,Lectures on Latin Poetry
83,89662238,The Expositor's Greek Testament
